spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-01-0001,松前城,,北海道,Hokkaido,1
castle-01-0002,館城,,北海道,Hokkaido,1
castle-01-0003,千代ヶ岱陣屋（千代ヶ岡陣屋・津軽陣屋）,,北海道,Hokkaido,1
castle-01-0004,南部陣屋モロラン陣屋オシャマンベ陣屋砂原陣屋,,北海道,Hokkaido,1
castle-01-0005,モロラン陣屋,,北海道,Hokkaido,1
castle-01-0006,オシャマンベ陣屋,,北海道,Hokkaido,1
castle-01-0007,砂原陣屋,,北海道,Hokkaido,1
castle-01-0008,松前藩戸切地陣屋,,北海道,Hokkaido,1
castle-01-0009,仙台藩シラオイ元陣屋広尾陣屋,,北海道,Hokkaido,1
castle-01-0010,広尾陣屋,,北海道,Hokkaido,1
castle-01-0011,シベチャリチャシアイヌ民族の古城,,北海道,Hokkaido,1
castle-01-0012,モシリヤチャシアイヌ民族の古城,,北海道,Hokkaido,1
castle-01-0013,根室半島チャシ跡群（チャルコロモイチャシ他）アイヌ民族の古城,,北海道,Hokkaido,1
castle-01-0014,チャシ,,北海道,Hokkaido,1
castle-02-0015,蠣崎城（錦帯城）,,青森県,Aomori,2
castle-02-0016,田名部城,,青森県,Aomori,2
castle-02-0017,七戸城（柏葉城）,,青森県,Aomori,2
castle-02-0018,野辺地城（金鶏城）,,青森県,Aomori,2
castle-02-0019,櫛引城,,青森県,Aomori,2
castle-02-0020,新井田城,,青森県,Aomori,2
castle-02-0021,根城,,青森県,Aomori,2
castle-02-0022,八戸城,,青森県,Aomori,2
castle-02-0023,上名久井城,,青森県,Aomori,2
castle-02-0024,剣吉城,,青森県,Aomori,2
castle-02-0025,三戸城（留ヶ崎城・糠部城）,,青森県,Aomori,2
castle-02-0026,聖寿寺館（本三戸城）,,青森県,Aomori,2
castle-02-0027,浅水城,,青森県,Aomori,2
castle-02-0028,蓬田城,,青森県,Aomori,2
castle-02-0029,高畑城,,青森県,Aomori,2
castle-02-0030,油川城,,青森県,Aomori,2
castle-02-0031,高田城,,青森県,Aomori,2
castle-02-0032,浅瀬石城（汗石城）,,青森県,Aomori,2
castle-02-0033,横内城,,青森県,Aomori,2
castle-02-0034,黒石城,,青森県,Aomori,2
castle-02-0035,田舎館城,,青森県,Aomori,2
castle-02-0036,大光寺城,,青森県,Aomori,2
castle-02-0037,浪岡城,,青森県,Aomori,2
castle-02-0038,藤崎城,,青森県,Aomori,2
castle-02-0039,福島城,,青森県,Aomori,2
castle-02-0040,唐川城,,青森県,Aomori,2
castle-02-0041,石川城（大仏ヶ鼻城）,,青森県,Aomori,2
castle-02-0042,弘前城,,青森県,Aomori,2
castle-02-0043,堀越城,,青森県,Aomori,2
castle-02-0044,和徳城,,青森県,Aomori,2
castle-02-0045,大浦城（八幡城・賀田城）,,青森県,Aomori,2
castle-02-0046,種里城,,青森県,Aomori,2
castle-02-0047,元城（深浦館）,,青森県,Aomori,2
castle-03-0048,軽米城,,岩手県,Iwate,3
castle-03-0049,小軽米城,,岩手県,Iwate,3
castle-03-0050,種市城,,岩手県,Iwate,3
castle-03-0051,野田城,,岩手県,Iwate,3
castle-03-0052,久慈城,,岩手県,Iwate,3
castle-03-0053,千徳城,,岩手県,Iwate,3
castle-03-0054,田鎖城,,岩手県,Iwate,3
castle-03-0055,大槌城,,岩手県,Iwate,3
castle-03-0056,鍋倉城（遠野城）,,岩手県,Iwate,3
castle-03-0057,横田城,,岩手県,Iwate,3
castle-03-0058,板沢城,,岩手県,Iwate,3
castle-03-0059,金田一城（四戸城）,,岩手県,Iwate,3
castle-03-0060,九戸城,,岩手県,Iwate,3
castle-03-0061,姉帯城,,岩手県,Iwate,3
castle-03-0062,一戸城,,岩手県,Iwate,3
castle-03-0063,浄法寺城,,岩手県,Iwate,3
castle-03-0064,一方井城,,岩手県,Iwate,3
castle-03-0065,葛巻城,,岩手県,Iwate,3
castle-03-0066,沼宮内城,,岩手県,Iwate,3
castle-03-0067,雫石城（滴石城・雫石御所）,,岩手県,Iwate,3
castle-03-0068,平館城,,岩手県,Iwate,3
castle-03-0069,盛岡城（不来方城）,,岩手県,Iwate,3
castle-03-0070,岩崎城,,岩手県,Iwate,3
castle-03-0071,志波城（斯波城）,,岩手県,Iwate,3
castle-03-0072,厨川柵,,岩手県,Iwate,3
castle-03-0073,郡山城（高水寺城・斯波御所）,,岩手県,Iwate,3
castle-03-0074,徳丹城,,岩手県,Iwate,3
castle-03-0075,長岡城,,岩手県,Iwate,3
castle-03-0076,江釣子城,,岩手県,Iwate,3
castle-03-0077,鹿島館（鬼柳城）,,岩手県,Iwate,3
castle-03-0078,黒沢尻柵,,岩手県,Iwate,3
castle-03-0079,二子城,,岩手県,Iwate,3
castle-03-0080,十二丁目城,,岩手県,Iwate,3
castle-03-0081,花巻城（鳥谷ヶ崎城）,,岩手県,Iwate,3
castle-03-0082,安俵城,,岩手県,Iwate,3
castle-03-0083,十八ヶ城（本館）,,岩手県,Iwate,3
castle-03-0084,世田米城,,岩手県,Iwate,3
castle-03-0085,岩谷堂城,,岩手県,Iwate,3
castle-03-0086,人首城,,岩手県,Iwate,3
castle-03-0087,胆沢城,,岩手県,Iwate,3
castle-03-0088,水沢城,,岩手県,Iwate,3
castle-03-0090,金ケ崎城,,岩手県,Iwate,3
