spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-14-0508,津久井城,,神奈川県,Kanagawa,14
castle-14-0509,石垣山城（石垣山一夜城）,,神奈川県,Kanagawa,14
castle-14-0510,大庭城,,神奈川県,Kanagawa,14
castle-14-0511,河村城,,神奈川県,Kanagawa,14
castle-14-0512,衣笠城,,神奈川県,Kanagawa,14
castle-14-0513,佐原城,,神奈川県,Kanagawa,14
castle-14-0514,深見城,,神奈川県,Kanagawa,14
castle-14-0515,淵野辺城,,神奈川県,Kanagawa,14
castle-14-0516,荻野山中陣屋,,神奈川県,Kanagawa,14
castle-14-0517,枡形城,,神奈川県,Kanagawa,14
castle-14-0518,小沢城,,神奈川県,Kanagawa,14
castle-14-0519,寺尾城,,神奈川県,Kanagawa,14
castle-14-0521,荏田城,,神奈川県,Kanagawa,14
castle-14-0522,小机城,,神奈川県,Kanagawa,14
castle-14-0523,篠原城,,神奈川県,Kanagawa,14
castle-14-0524,笹下城,,神奈川県,Kanagawa,14
castle-14-0525,野庭関城,,神奈川県,Kanagawa,14
castle-14-0526,榎下城,,神奈川県,Kanagawa,14
castle-14-0527,茅ヶ崎城,,神奈川県,Kanagawa,14
castle-14-0528,磯子城,,神奈川県,Kanagawa,14
castle-14-0529,蒔田城,,神奈川県,Kanagawa,14
castle-14-0530,岡津城,,神奈川県,Kanagawa,14
castle-14-0531,青木城,,神奈川県,Kanagawa,14
castle-14-0532,権現山城,,神奈川県,Kanagawa,14
castle-15-0533,春日山城,,新潟県,Niigata,15
castle-15-0534,福島城（越後福嶋城）,,新潟県,Niigata,15
castle-15-0535,高田城（鮫ケ城）,,新潟県,Niigata,15
castle-15-0536,北条城,,新潟県,Niigata,15
castle-15-0537,桝形城,,新潟県,Niigata,15
castle-15-0538,鷹射城,,新潟県,Niigata,15
castle-15-0539,長岡城,,新潟県,Niigata,15
castle-15-0540,勝山城（落水城）,,新潟県,Niigata,15
castle-15-0541,清崎城（糸魚川城）,,新潟県,Niigata,15
castle-15-0542,沼垂城,,新潟県,Niigata,15
castle-15-0543,村上城（本庄城・舞鶴城）,,新潟県,Niigata,15
castle-15-0544,鳥坂城,,新潟県,Niigata,15
castle-15-0545,栖吉城,,新潟県,Niigata,15
castle-15-0546,栃尾城（舞鶴城）,,新潟県,Niigata,15
castle-15-0547,蔵王堂城,,新潟県,Niigata,15
castle-15-0548,新潟城,,新潟県,Niigata,15
castle-15-0549,木場城,,新潟県,Niigata,15
castle-15-0550,蒲原津城,,新潟県,Niigata,15
castle-15-0551,根知城,,新潟県,Niigata,15
castle-15-0552,猿毛城,,新潟県,Niigata,15
castle-15-0553,下田城,,新潟県,Niigata,15
castle-15-0554,畑野城（熊谷城）,,新潟県,Niigata,15
castle-15-0555,上条城,,新潟県,Niigata,15
castle-15-0556,新発田城（菖蒲城）,,新潟県,Niigata,15
castle-15-0557,村松城,,新潟県,Niigata,15
castle-15-0558,三条城,,新潟県,Niigata,15
