spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-47-1981,船越城,Funakoshi Castle,沖縄県,Okinawa,47
castle-47-1982,志喜屋城,Shikiya Castle,沖縄県,Okinawa,47
castle-47-1983,知名城,China Castle,沖縄県,Okinawa,47
castle-47-1985,島添大里城 (大里城),Shimajiri Ozato Castle (Ozato Castle),沖縄県,Okinawa,47
castle-47-1986,今帰仁城,Nakijin Castle,沖縄県,Okinawa,47
castle-47-1987,羽地城,Haneji Castle,沖縄県,Okinawa,47
castle-47-1988,親城,Oya Castle,沖縄県,Okinawa,47
castle-47-1989,久志城,Kushi Castle,沖縄県,Okinawa,47
castle-47-1990,金武城,Kin Castle,沖縄県,Okinawa,47
castle-47-1991,名護城,Nago Castle,沖縄県,Okinawa,47
castle-47-1992,親川城,Oyagawa Castle,沖縄県,Okinawa,47
castle-47-1993,屋我城,Yaga Castle,沖縄県,Okinawa,47
castle-47-1994,陣城,Jin Castle,沖縄県,Okinawa,47
castle-47-1995,津波城,Tsuna Castle,沖縄県,Okinawa,47
castle-47-1996,根謝銘城,Neshime Castle,沖縄県,Okinawa,47
castle-47-1997,奥間城,Okuma Castle,沖縄県,Okinawa,47
castle-47-1998,田名城,Dana Castle,沖縄県,Okinawa,47
castle-47-1999,椎名城,Shiina Castle,沖縄県,Okinawa,47
castle-47-2000,伊是名城,Izena Castle,沖縄県,Okinawa,47
castle-47-2001,天城城,Amagi Castle,沖縄県,Okinawa,47
castle-47-2002,伊敷索城,Ishiki Castle,沖縄県,Okinawa,47
castle-47-2004,宇江城城,Uegusuku Castle,沖縄県,Okinawa,47
castle-47-2005,登武那覇城,Tonaha Castle,沖縄県,Okinawa,47
castle-47-2006,クニ城,Kuni Castle,沖縄県,Okinawa,47
castle-47-2007,ウニシ城,Unishi Castle,沖縄県,Okinawa,47
castle-47-2008,塩原城,Shiobara Castle,沖縄県,Okinawa,47
castle-47-2009,与那嶺城,Yonamine Castle,沖縄県,Okinawa,47
castle-47-2010,高腰城,Takagoshi Castle,沖縄県,Okinawa,47
castle-47-2011,西銘城,Nishime Castle,沖縄県,Okinawa,47
castle-47-2012,上のつづ城,Uenotsuzu Castle,沖縄県,Okinawa,47
castle-47-2013,保里城,Hori Castle,沖縄県,Okinawa,47
castle-47-2014,飛鳥城,Asuka Castle,沖縄県,Okinawa,47
castle-47-2015,大浦多志城,Oura Tashi Castle,沖縄県,Okinawa,47
castle-47-2016,大嶽城,Otaki Castle,沖縄県,Okinawa,47
castle-47-2017,汀間嘉城,Teimaka Castle,沖縄県,Okinawa,47
castle-47-2018,喜佐真城,Kisama Castle,沖縄県,Okinawa,47
castle-47-2019,久場嘉城,Kubaka Castle,沖縄県,Okinawa,47
castle-47-2020,上比屋城,Kamihiya Castle,沖縄県,Okinawa,47
castle-47-2021,下田原城,Shimotabaru Castle,沖縄県,Okinawa,47
castle-47-2022,石スク山城,Ishisuku-yama Castle,沖縄県,Okinawa,47
castle-47-2023,富崎ガバネ城,Fusaki Gabane Castle,沖縄県,Okinawa,47
castle-47-2024,川平城,Kabira Castle,沖縄県,Okinawa,47
castle-47-2025,蔚山城,Ulsan Japanese Castle,沖縄県,Okinawa,47
castle-47-2026,西生浦城,Seo-saeng-po Japanese Castle,沖縄県,Okinawa,47
castle-47-2027,林浪浦城,Imsir-po Japanese Castle,沖縄県,Okinawa,47
castle-47-2028,機張城,Gijang Japanese Castle,沖縄県,Okinawa,47
castle-47-2029,東萊城,Dongnae Japanese Castle,沖縄県,Okinawa,47
castle-47-2030,釜山城,Busan Japanese Castle,沖縄県,Okinawa,47
castle-47-2031,釜山支城,Busan Japanese Branch Castle,沖縄県,Okinawa,47
castle-47-2032,亀浦城,Gupo Japanese Castle,沖縄県,Okinawa,47
