spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-01-0001,松前城,Matsumae Castle,北海道,Hokkaido,01
castle-01-0002,館城,Tate Castle,北海道,Hokkaido,01
castle-01-0003,千代ヶ岱陣屋（千代ヶ岡陣屋・津軽陣屋）,Chiyogadai Jinya (Chiyogaoka Jinya),北海道,Hokkaido,01
castle-01-0005,モロラン陣屋,Mororan Jinya,北海道,Hokkaido,01
castle-01-0006,オシャマンベ陣屋,Oshamanbe Jinya,北海道,Hokkaido,01
castle-01-0007,砂原陣屋,Sawahara Jinya,北海道,Hokkaido,01
castle-01-0008,松前藩戸切地陣屋,Hekirichi Jinya,北海道,Hokkaido,01
castle-01-0009,仙台藩白老元陣屋,Shiraoi Jinya,北海道,Hokkaido,01
castle-01-0010,広尾陣屋,Hiroo Jinya,北海道,Hokkaido,01
castle-01-0011,シベチャリチャシ,Shibechari Chashi,北海道,Hokkaido,01
castle-01-0012,モシリヤチャシ,Mosiriya Chashi,北海道,Hokkaido,01
castle-01-0013,根室半島チャシ跡群,Nemuro Peninsula Chashi Sites,北海道,Hokkaido,01
castle-02-0015,蠣崎城（錦帯城）,Kakizaki Castle (Kintai Castle),青森県,Aomori,02
castle-02-0016,田名部城,Tanabu Castle,青森県,Aomori,02
castle-02-0017,七戸城（柏葉城）,Shichinohe Castle (Hakuyo Castle),青森県,Aomori,02
castle-02-0018,野辺地城（金鶏城）,Noheji Castle (Kinkei Castle),青森県,Aomori,02
castle-02-0019,櫛引城,Kushibiki Castle,青森県,Aomori,02
castle-02-0020,新井田城,Niida Castle,青森県,Aomori,02
castle-02-0021,根城,Ne Castle,青森県,Aomori,02
castle-02-0022,八戸城,Hachinohe Castle,青森県,Aomori,02
castle-02-0023,上名久井城,Kaminakui Castle,青森県,Aomori,02
castle-02-0024,剣吉城,Ken-yoshi Castle,青森県,Aomori,02
castle-02-0025,三戸城（留ヶ崎城・糠部城）,Sannohe Castle (Tomegasaki Castle),青森県,Aomori,02
castle-02-0026,聖寿寺館（本三戸城）,Shojuji Tate (Hon-Sannohe Castle),青森県,Aomori,02
